LOCATIONDESC,NOTE1,NOTE9,SHAPEarea,SHAPElen,OBJECTID,WEB_LINK
KLO Middle School,5.68,3130 Gordon Dr,56821.446127,1087.1758025333,79,KLO-Middle-School
Watson Road Elementary,2.4,475 Yates Rd,24313.823619,654.201797097556,241,Watson-Road-Elementary
South Rutland Elementary School,3.01,200 Mallach Rd,30263.882571,696.258255655593,169,South-Rutland-Elementary-School
Glenmore Elementary School,3.44,960 Glenmore Dr,34402.838431,744.377309575704,216,Glenmore-Elementary-School
Pearson Road Elementary School,3.31,700 Pearson Rd,33323.9953275,870.014103866734,218,Pearson-Road-Elementary-School
Dr. Knox Middle School,4.3,121 Drysdale Blvd,43377.5990168594,914.679286789973,375,Dr.-Knox-Middle-School
Ecole de l'Anse-au-Sable,2.04,675 Lequime Rd,20386.87008225,589.624936179397,383,Ecole-de-l'Anse-au-Sable
Rutland Elementary School,2.69,620 Webster Rd,26767.503769625,658.890256884337,295,Rutland-Elementary-School
Belgo Elementary School,2.08,125 Adventure Rd,21070.86133025,608.893486488137,142,Belgo-Elementary-School
Casorso Elementary School,2.59,3675 Casorso Rd,26065.027921125,722.294449032868,73,Casorso-Elementary-School
Rutland Middle School,2,715 Rutland Rd N,28317.044982,717.07303693092,206,Rutland-Middle-School
Dorothea Walker Elementary School,2.92,4346 Gordon Dr,29275.661244,693.330197789554,48,Dorothea-Walker-Elementary-School
Chute Lake Elementary School,2.4,5240 Lark St,24356.3482093437,667.381015802102,510,Chute-Lake-Elementary-School
Rutland Senior School,2,650 Dodd Rd,49918.5166755,917.402532876336,207,Rutland-Senior-School
Black Mountain Elementary School,2.94,1650 Gallagher Rd,29255.415092,830.02200022839,98,Black-Mountain-Elementary-School
Raymer Elementary School,1.88,657 Raymer Ave,18826.125846875,600.806022073664,2436,Raymer-Elementary-School
North Glenmore Elementary School,3.63,125 Glenmore Rd N,36441.2435185156,783.250636959886,1965,North-Glenmore-Elementary-School
Old Central School Property,1.43,1825 Richter St,14362.044852875,510.4291535695,148,Old-Central-School-Property
Kelowna Secondary School,6.5,1079 Raymer Ave,64619.080365125,1148.49498795461,294,Kelowna-Secondary-School
Springvalley Middle School,4.73,350 Ziprick Rd,47441.19379775,871.218047332388,155,Springvalley-Middle-School
Springvalley Elementary School,1.5,470 Ziprick Rd,13200.4374349375,554.531255820112,156,Springvalley-Elementary-School
South Kelowna Elementary School,2.84,4176 Spiers Rd,28496.8410872969,777.63143792815,54,South-Kelowna-Elementary-School
A. S. Matheson Elementary School,2.3,2090 Gordon Dr,22977.6248795703,613.22600207436,7656,A.-S.-Matheson-Elementary-School
Anne McClymont Elementary School,3.1,4489 Lakeshore Rd,35548.7122460703,1070.58782393886,2079,Anne-McClymont-Elementary-School
Hollywood Road Education Services Centre,2.41,1040 Hollywood Rd,24036.0126962109,641.908212998787,123,Hollywood-Road-Education-Services-Centre
Okanagan Mission Secondary School,6.6,4544 Gordon Dr,66839.5263484531,1142.28084442089,40,Okanagan-Mission-Secondary-School
Bankhead Elementary School,2.44,1280 Wilson Ave,24374.8012785,628.603578470044,198,Bankhead-Elementary-School
